CellID,cellType,HIF1A,ATP1A2,FGFR3,LMO3,TGFBI,ANXA2,EGFR,MBP,SOX9,STMN2,dimension 1,dimension 2,dimension 3,Dataset
GSM1657871,Oligodendrocyte,0,0,0,34.687503999999997,0,3.0163047000000001,0,449.42937999999998,27.146742,0,-6.4804909999999998,-15.350035999999999,3.0443701999999999,Atlas
GSM1657873,Oligodendrocyte,0,0,0,0,0,0,0,1224.404,0,0,-6.4834947999999999,-15.352261,3.0402377,Atlas
GSM1657876,Oligodendrocyte,5.6445192999999998,110.06813,11.289039000000001,1281.3059000000001,0,64.911969999999997,0,152.40201999999999,265.29241999999999,0,-4.6162349999999996,-4.7009259999999999,-0.05338296,Atlas
GSM1657877,Oligodendrocyte,0,12.297929999999999,0,0,0,0,0,1531.0923,0,0,-6.488632,-15.375754000000001,3.0082784,Atlas
GSM1657881,Oligodendrocyte,0,338.12045000000001,0,0,0,1.7610439,0,369.81920000000002,0,17.610440000000001,-6.4519229999999999,-15.409069000000001,3.0221174,Atlas
GSM1657885,Astrocyte,0,3941.7802999999999,47.887990000000002,1640.1637000000001,0,0,0,107.74798,0,0,-5.7723535999999998,0.78659254000000001,-6.4542254999999997,Atlas
GSM1657889,Oligodendrocyte,142.95501999999999,0,0,0,0,0,0,1202.8828000000001,0,0,-6.4684362000000002,-15.39568,3.0126588000000001,Atlas
GSM1657890,Oligodendrocyte,1.8007214,0,0,0,0,0,0,464.58611999999999,174.66997000000001,0,-6.420337,-15.450664,2.9974759999999998,Atlas
GSM1657891,Oligodendrocyte,0,0,0,12.139735999999999,0,0,0,1641.5621000000001,0,63.3964,-6.5037694000000004,-15.356396,3.0377648000000002,Atlas
GSM1657892,Oligodendrocyte,0,0,0,2.3376473999999998,0,0,0,1302.0696,0,0,-6.4577689999999999,-15.409435999999999,3.0250284999999999,Atlas
GSM1657893,OPC,305.86005,482.31774999999999,0,242.33527000000001,0,9.4110779999999998,0,72.935860000000005,0,0,-4.6306552999999999,-4.7099359999999999,-0.0657557,Atlas
GSM1657894,Oligodendrocyte,0,0,0,0,0,0,0,1209.7498000000001,241.29778999999999,3.2607810000000002,-6.4630175000000003,-15.403964,3.0254563999999999,Atlas
GSM1657898,Oligodendrocyte,0,0,0,509.13794000000001,0,81.263059999999996,0,0,0,1610.3353,-6.5326195,-1.9651301999999999,-8.0002259999999996,Atlas
GSM1657899,Oligodendrocyte,1398.9075,0,0,0,0,0,0,543.42174999999997,66.358429999999998,0,-6.4684463000000001,-15.400506,3.0118689999999999,Atlas
GSM1657900,Oligodendrocyte,0,0,0,0,0,0,0,765.11237000000006,0,0,-6.4683640000000002,-15.400976,3.0240537999999999,Atlas
GSM1657901,Oligodendrocyte,0,0,0,0,0,0,0,1061.6608000000001,114.14026,6.2542605,-6.4677030000000002,-15.396497,3.0174395999999999,Atlas
GSM1657902,Oligodendrocyte,4.913341,11.055016999999999,0,1.2283352999999999,0,0,1.2283352999999999,716.11945000000003,11.055016999999999,0,-6.4558119999999999,-15.419665999999999,3.0457711000000001,Atlas
GSM1657903,OPC,3.4167942999999998,10.250382,0,5.1251910000000001,0,0,0,3.4167942999999998,0,0,-4.5794024000000002,-4.6889989999999999,-0.059831652999999999,Atlas
GSM1657904,OPC,326.2158,432.80115000000001,0,0,0,0,0,571.68510000000003,0,0,-4.6060610000000004,-4.6941967,-0.049690150000000002,Atlas
GSM1657906,OPC,3.6755179999999998,1130.2218,0,9.1887950000000007,0,0,0,25.728625999999998,0,0,-4.6385217000000001,-4.6929455000000004,-0.04709766,Atlas
GSM1657907,OPC,0,465.88278000000003,62.581270000000004,0,0,0,0,9.2712990000000008,50.992145999999998,0,-4.6204150000000004,-4.7017306999999997,-0.057207827000000003,Atlas
GSM1657908,OPC,91.696849999999998,147.96538000000001,0,2379.9499999999998,0,0,10.420095999999999,29.176271,0,0,-4.6218019999999997,-4.7016879999999999,-0.058392464999999998,Atlas
GSM1657909,OPC,2865.5059999999999,4.4016989999999998,0,0,0,0,0,0,0,0,5.1669764999999996,-3.2527173,-3.2021008000000002,Atlas
GSM1657910,microglia,0,3.5275110999999999,0,0,0,0,0,0,0,0,5.1632604999999998,-3.2327118000000001,-3.2132664000000002,Atlas
GSM1657911,OPC,0,28.902104999999999,0,0,0,3.2113450000000001,115.60842,64.226900000000001,0,0,-4.6271662999999998,-4.6987014,-0.056525126000000002,Atlas
GSM1657913,OPC,1374.048,736.52135999999996,0,0,0,0,0,21.778858,0,0,-4.6099430000000003,-4.6950973999999999,-0.054439376999999997,Atlas
GSM1657914,OPC,0,5.3321389999999997,0,0,0,0,191.95699999999999,42.657111999999998,0,0,-4.6226859999999999,-4.6897270000000004,-0.047140000000000001,Atlas
GSM1657915,OPC,124.04749,499.73419999999999,7.0884280000000004,0,0,0,3.5442140000000002,10.632642000000001,14.176856000000001,0,-4.6235765999999998,-4.691827,-0.051518817000000001,Atlas
GSM1657916,OPC,164.42859999999999,46.588107999999998,0,73.992874,0,5.4809536999999997,0,696.08109999999999,0,0,-4.5906260000000003,-4.6466339999999997,-0.011408353,Atlas
GSM1657917,OPC,1.9141834,323.49698000000001,0,1412.6674,0,0,44.026220000000002,133.99283,0,0,-4.6301413,-4.7127660000000002,-0.062655814000000004,Atlas
GSM1657918,microglia,0,0,0,0,0,0,0,18.066330000000001,0,0,-4.6478915000000001,-4.7162240000000004,-0.060465063999999999,Atlas
GSM1657919,microglia,0,36.751922999999998,0,0,0,0,0,0,0,0,5.1722479999999997,-3.2823962999999998,-3.1861773000000002,Atlas
GSM1657920,OPC,339.71307000000002,0,0,0,0,6.2332679999999998,0,286.73032000000001,0,0,5.2053713999999998,-3.2090814000000001,-3.1836001999999999,Atlas
GSM1657921,OPC,0,20.127427999999998,0,0,0,0,0,0,0,0,-4.6281686000000004,-4.6910150000000002,-0.045749261999999999,Atlas
GSM1657922,OPC,221.04429999999999,652.08069999999998,0,4.4208860000000003,0,0,130.41614000000001,39.787975000000003,0,0,-4.6106973,-4.6951510000000001,-0.053424653000000003,Atlas
GSM1657923,microglia,116.41464000000001,0,0,0,0,0,0,522.97040000000004,0,0,-6.4726887,-15.39045,3.0190104999999998,Atlas
GSM1657924,OPC,507.43673999999999,7.2837810000000003,0,208.80172999999999,0,67.981960000000001,0,2.4279269999999999,0,0,5.1537100000000002,-3.2153233999999999,-3.229673,Atlas
GSM1657925,microglia,4506.9823999999999,0,0,0,0,0,0,173.57177999999999,0,0,5.1747775000000003,-3.3002234000000001,-3.1686494000000001,Atlas
GSM1657926,microglia,3121.2595000000001,0,0,0,0,0,0,0,0,0,5.2085667000000004,-3.3616784000000002,-3.18065,Atlas
GSM1657927,microglia,6840.2839999999997,0,0,0,0,0,0,0,0,0,5.1754449999999999,-3.3198392000000001,-3.1576369999999998,Atlas
GSM1657928,OPC,0,1152.4159999999999,0,0,0,0,0,664.28399999999999,0,0,-4.626017,-4.6783742999999998,-0.034804127999999997,Atlas
GSM1657930,Neuron,88.326819999999998,1.2099565000000001,0,70.177475000000001,0,0,0,0,135.51512,1666.1101000000001,-6.9137820000000003,-1.9870832,-7.8181349999999998,Atlas
GSM1657931,Neuron,32.305480000000003,500.73495000000003,0,1765.2637999999999,0,0,0,3698.9775,4.6150684000000002,803.02200000000005,-6.480442,-1.6665806999999999,-7.9574999999999996,Atlas
GSM1657932,Astrocyte,0,4050.4911999999999,866.60406,229.55501000000001,0,0,2.7166274000000001,1506.3697999999999,1733.2081000000001,2.7166274000000001,-5.9418043999999997,0.55605346,-6.6687770000000004,Atlas
GSM1657933,Neuron,0,1370.8453,131.22621000000001,555.36810000000003,0,0,0,74.986410000000006,96.076340000000002,152.31614999999999,-6.1515050000000002,0.14709736000000001,-6.840452,Atlas
GSM1657934,microglia,0,0,0,0,0,0,0,0,1.8396184,18.396183000000001,5.1494317000000001,-3.3534951,-3.1341640000000002,Atlas
GSM1657935,Neuron,0,14.036716999999999,0,0,0,0,0,0,0,419.82547,-6.6877103,-1.9608038999999999,-7.9085479999999997,Atlas
GSM1657937,Neuron,0,0,0,492.94412,0,0,0,0,0,476.02940000000001,-6.8662114000000001,-1.9682923999999999,-7.8226360000000001,Atlas
GSM1657938,Astrocyte,55.166989999999998,5219.277,573.25696000000005,2827.9077000000002,0,0,0,110.33398,57.565550000000002,0,-5.8652420000000003,0.6722437,-6.5687512999999997,Atlas
GSM1657939,Neuron,3.7004828000000001,0,0,0,0,0,218.32848999999999,0,0,1058.3380999999999,-6.5615195999999996,-1.9055365,-7.9616265000000004,Atlas
GSM1657940,Neuron,0,0,0,51.394889999999997,0,0,465.76616999999999,12.848722,0,491.46361999999999,-6.7890189999999997,-1.7796311,-7.9047464999999999,Atlas
GSM1657941,Neuron,199.74158,237.19313,0,0,0,0,0,74.903090000000006,0,87.386939999999996,-6.7133836999999996,-1.6360976,-7.8674650000000002,Atlas
GSM1657942,Neuron,0,0,0,0,0,0,0,150.14124000000001,0,862.43920000000003,-6.5865090000000004,-2.0033249999999998,-7.9376759999999997,Atlas
GSM1657943,Neuron,12.473844,0,0,155.92304999999999,0,0,227.64764,567.55989999999997,65.487679999999997,576.9153,-6.9127254000000002,-2.0505814999999998,-7.8669504999999997,Atlas
GSM1657944,Oligodendrocyte,10.190666999999999,0,0,0,0,0,0,26251.16,20.381333999999999,20.381333999999999,-6.445716,-15.426634999999999,3.0164013000000001,Atlas
GSM1657945,Neuron,0,0,0,38.142097,0,0,0,0,0,1900.7479000000001,-6.9372699999999998,-1.6980999999999999,-7.657464,Atlas
GSM1657946,Neuron,4.0156929999999997,1.3385644000000001,151.25778,0,0,119.13223000000001,0,21.41703,1.3385644000000001,1744.1494,-6.9412409999999998,-1.7954399999999999,-7.8913169999999999,Atlas
GSM1657948,Neuron,22.372064999999999,0,0,0,0,0,0,4.4744130000000002,988.84529999999995,290.83685000000003,-6.6929255000000003,-1.8439744,-7.8286796000000001,Atlas
GSM1657949,Neuron,259.6653,0,0,41.216717000000003,0,0,94.798450000000003,0,24.730029999999999,614.12909999999999,-7.106452,-1.9871683,-7.7459216,Atlas
