"","nGene","nReads","orig.ident","percent.mito","percent.ERCC","percent.ribo","res.0.6","plate","cell_ontology_class","tsne_1","tsne_2","tsne_3"
"O18.MAA000574.3_8_M.1.1",5826,1307034,"Combined",0,0.00794533898240762,0.0204990841860273,"5","MAA000574","pancreatic ductal cell",-17.1914573957377,0.872188703073073,-23.8855917323886
"P21.MAA000574.3_8_M.1.1",2253,2029575,"Combined",0,0.0215289425334015,0.00449256617764803,"10","MAA000574","udf",-31.636400356305,5.94020321156191,-4.97166600202874
"E2.MAA000574.3_8_M.1.1",1023,429880,"Combined",0,0.205859804365296,0.00310784404950219,"7","MAA000574","pancreatic acinar cell",-12.2167674830963,15.4136243092456,12.3314415955512
"E1.MAA000574.3_8_M.1.1",734,151337,"Combined",0,0.359905087785339,0.00278187092383224,"7","MAA000574","pancreatic acinar cell",-12.4140103334666,13.2995093336533,14.6115838090136
"F9.MAA000574.3_8_M.1.1",3976,2557157,"Combined",0,0.0088988212550051,0.0101425137369352,"5","MAA000574","udf",-18.1638802938533,3.04514265739434,-19.8907639818055
"G15.MAA000574.3_8_M.1.1",4491,721557,"Combined",0,0.0144010381095479,0.00276346844393444,"2","MAA000574","type B pancreatic cell",10.327060060784,-18.0219872915547,-19.4372591711384
"I5.MAA000574.3_8_M.1.1",4951,1831689,"Combined",0,0.00505055168776314,0.00418739207365443,"2","MAA000574","type B pancreatic cell",6.48982009690721,-9.84563931891685,-22.0469468897785
"N14.MAA000574.3_8_M.1.1",275,250836,"Combined",0,0.187872940429899,0.00283053469198999,"0","MAA000574","udf",-4.90206346530851,-3.78175562932078,25.5422238201107
"O19.MAA000574.3_8_M.1.1",3511,2294383,"Combined",0,0.013130825222987,0.0156002724915587,"10","MAA000574","udf",-33.3110695877301,4.33536301912116,-6.86851012197686
"P22.MAA000574.3_8_M.1.1",4306,2233589,"Combined",0,0.0088113976600272,0.0145281875940471,"5","MAA000574","udf",-18.6696503825311,2.6183789766833,-19.711091227295
"F10.MAA000574.3_8_M.1.1",2562,571815,"Combined",0,0.0168344205527453,0.00425662145973785,"7","MAA000574","pancreatic acinar cell",-12.9480698921401,19.1411702111658,8.7870020866866
"E3.MAA000574.3_8_M.1.1",4271,1968150,"Combined",0,0.00526894355786361,0.00883062774686889,"10","MAA000574","endothelial cell",-31.8542946258355,6.20622780134657,-6.43678330907412
"F11.MAA000574.3_8_M.1.1",7716,2594185,"Combined",0,0.00251966941691166,0.0131397722213335,"5","MAA000574","udf",-17.7861512288777,1.61007602019364,-23.0954474857822
"G16.MAA000574.3_8_M.1.1",398,552552,"Combined",0,0.0677374725830943,0.00169395821569735,"0","MAA000574","udf",-1.39349450566011,-0.253641656147098,26.6673561008075
"I6.MAA000574.3_8_M.1.1",266,89158,"Combined",0,0.359593739450227,0.000482289867426367,"0","MAA000574","udf",-7.30212823104456,-8.18016759605169,21.2862104413847
"J18.MAA000574.3_8_M.1.1",317,589200,"Combined",0,0.200007603457944,0.00487270875763747,"0","MAA000574","udf",-1.03544209329595,-2.21831650952971,26.1418821968381
"L2.MAA000574.3_8_M.1.1",710,448568,"Combined",0,0.241785565177118,0.00586756077116513,"0","MAA000574","pancreatic acinar cell",-2.84060486126482,0.48027885619329,26.4551887243525
"M6.MAA000574.3_8_M.1.1",208,157404,"Combined",0,0.154732625202719,0.0046631597672232,"0","MAA000574","udf",-5.52922480486475,-5.6352610961192,23.1781084480155
"E4.MAA000574.3_8_M.1.1",293,244426,"Combined",0,0.168811295346655,0.00109644636822597,"0","MAA000574","udf",-3.81002827790326,-2.91674919943012,25.7528565122906
"G17.MAA000574.3_8_M.1.1",6419,1591137,"Combined",0,0.00607981909836526,0.0202634971092998,"5","MAA000574","pancreatic ductal cell",-17.3023147016306,0.663079675105021,-24.188213754473
"F12.MAA000574.3_8_M.1.1",4591,1515000,"Combined",0,0.00265103911912033,0.00305082508250825,"2","MAA000574","type B pancreatic cell",4.33640412450071,-10.5803348585156,-19.262503589959
"G18.MAA000574.3_8_M.1.1",120,145365,"Combined",0,0.342938504305377,0.00895676400784233,"0","MAA000574","udf",-7.99049357959903,-3.64347947982147,23.9078622855813
"I10.MAA000574.3_8_M.1.1",317,319844,"Combined",0,0.200703723788413,0.0040957466765048,"0","MAA000574","udf",-3.50773746957659,-4.17407989714984,24.8299050951391
"I8.MAA000574.3_8_M.1.1",4467,1746749,"Combined",0,0.00586549652685886,0.00848204292660251,"5","MAA000574","pancreatic ductal cell",-17.8903968186667,2.68919794631845,-21.320476481655
"J20.MAA000574.3_8_M.1.1",3949,1713964,"Combined",0,0.0127703202803929,0.00804684345762221,"10","MAA000574","endothelial cell",-31.7287913965111,7.10379577323509,-5.08867022010513
"L3.MAA000574.3_8_M.1.1",919,2206,"Combined",0,0.982137796455089,0.0226654578422484,"6","MAA000574","udf",-14.0860704367244,-20.8698582564296,2.87787341349743
"M7.MAA000574.3_8_M.1.1",100,280327,"Combined",0,0.168035827699394,0.00010701787555248,"0","MAA000574","udf",-3.41896799749993,-4.74851129261085,24.708997940387
"N15.MAA000574.3_8_M.1.1",167,227,"Combined",0,0.998162627685235,0.0352422907488987,"6","MAA000574","udf",-17.8452782442955,-14.2002498953771,6.58488327021781
"O20.MAA000574.3_8_M.1.1",4513,2221499,"Combined",0,0.00689429801052429,0.00713932349283074,"12","MAA000574","udf",-5.25641058552357,-32.8661389770811,2.82824014105473
"E5.MAA000574.3_8_M.1.1",285,359818,"Combined",0,0.246708439667463,0.00275694934661412,"0","MAA000574","udf",-3.64428314891427,-3.03004380160717,26.2606045144563
"F13.MAA000574.3_8_M.1.1",4371,2418278,"Combined",0,0.00757122156072469,0.0204595997647913,"12","MAA000574","udf",-5.95859826023058,-32.3035583725195,2.59462501058246
"G20.MAA000574.3_8_M.1.1",3945,1725889,"Combined",0,0.0062187300086544,0.00810422918275741,"5","MAA000574","pancreatic ductal cell",-18.6338274173652,3.03240475690406,-17.423260261417
"I13.MAA000574.3_8_M.1.1",3895,1838528,"Combined",0,0.0172030940124338,0.0124882514707418,"11","MAA000574","leukocyte",-26.6288227347445,-10.3100423608656,3.92542814835461
"J22.MAA000574.3_8_M.1.1",2884,2106045,"Combined",0,0.0203147764634956,0.00719832672141383,"5","MAA000574","udf",-18.8188017582063,3.296999540441,-16.7338986462903
"L6.MAA000574.3_8_M.1.1",2333,1929619,"Combined",0,0.0304683963242975,0.00626704028100884,"10","MAA000574","endothelial cell",-32.9454646406225,4.56775057433343,-6.58330925485593
"J21.MAA000574.3_8_M.1.1",5478,2533862,"Combined",0,0.009980827590141,0.00691513586769919,"12","MAA000574","udf",-5.00056236429414,-32.7751451080359,2.33409257595245
"M12.MAA000574.3_8_M.1.1",297,328513,"Combined",0,0.273948261191473,0.00160115429221979,"0","MAA000574","udf",-3.50218905011184,-3.37251459366726,25.2804138580108
"N19.MAA000574.3_8_M.1.1",669,854617,"Combined",0,0.110162335397363,0.00808198292334461,"0","MAA000574","pancreatic acinar cell",-16.1601048025619,0.59541836487673,20.2452674375767
"O22.MAA000574.3_8_M.1.1",3173,2168436,"Combined",0,0.0159981594515747,0.00790754257907543,"10","MAA000574","udf",-31.6501843448928,7.06973424733206,-5.48199337473952
