CellID;cellType;HIF1A;ATP1A2;FGFR3;LMO3;TGFBI;ANXA2;EGFR;MBP;SOX9;STMN2;dimension 1;dimension 2;dimension 3;Dataset
1001000182.C3;Neoplastic;272.12524;0;0;58.31255;0;3432.6655;1.9437517;0;0;0;-3.754432;8.089998;3.6208518;Glioblastoma
1001000182.D1;Neoplastic;323.48672;279.30316;149.90848;203.55994;0;194.09203;5055.861;0;252.47743;0;-5.492661;7.4516816;2.8074484;Glioblastoma
1001000182.G10;Neoplastic;0;0;5.841326;40.889282;0;0;3186.4434;1179.9479;315.4316;0;-4.9332247;7.3190484;2.6677573;Glioblastoma
1001000182.C12;Neoplastic;332.89554;0;16.561968;0;0;432.26736;3196.4597;0;362.7071;0;-4.796567;8.058951;3.2360878;Glioblastoma
1001000182.D10;Neoplastic;985.92584;143.28334;0;634.54047;0;0;1105.3286;0;866.5231;0;-5.1599264;7.120471;2.7226727;Glioblastoma
1001000182.A5;Neoplastic;447.1919;0;0;278.39886;0;1240.7383;0;0;212.63536;0;-3.9786422;7.8711834;3.5428426;Glioblastoma
1.00E+17;Neoplastic;680.2706;0;0;0;0;699.8311;0;0;18.473803;0;-3.6992977;7.3460164;3.3923457;Glioblastoma
1001000182.B4;Neoplastic;465.90634;0;0;0;1047.836;0;4885.672;0;0;0;-3.2259984;6.75404;3.7037985;Glioblastoma
1001000182.F6;Neoplastic;315.12445;0;0;0;1729.796;2310.9126;1.6942174;0;1.6942174;0;-3.4583519;7.380268;3.6655655;Glioblastoma
1001000182.B12;Neoplastic;50.606613;284.99515;0;165.13737;0;1635.3927;1696.6533;1704.6438;229.06151;0;-4.7429547;7.1803846;2.6724439;Glioblastoma
1001000182.C10;Neoplastic;0;0;0;0;0;3620.8884;0;0;0;0;-4.1266246;5.066828;2.5615385;Glioblastoma
1001000182.D9;Neoplastic;1191.3641;6.960258;0;82.36305;69.60258;1767.9055;1466.2943;1.160043;73.08271;0;-3.6624146;8.135835;3.6323996;Glioblastoma
1001000182.A7;Neoplastic;935.9021;0;0;24.179842;2.8446872;1567.4226;311.49326;0;17.068123;0;-3.3814692;8.079543;3.777559;Glioblastoma
1001000182.D11;Neoplastic;520.70215;0;0;32.543884;0;510.7975;4372.2;0;8.489709;0;-4.5629473;8.164512;3.4357946;Glioblastoma
1001000182.G8;Neoplastic;1173.3109;0;0;124.14386;0;2005.9832;2375.3867;0;15.139495;0;-4.4197445;8.234881;3.4831388;Glioblastoma
1001000182.D7;Neoplastic;0;44.069366;330.52023;0;0;0;143.22543;3371.3064;0;0;-4.6196876;5.8037205;2.7808025;Glioblastoma
1001000182.F12;Neoplastic;4194.209;0;0;58.897884;235.59154;3032.1084;0;0;20.38773;0;-3.3133495;7.216856;3.6731865;Glioblastoma
1001000182.G1;Neoplastic;651.91406;0;2.4144967;27.766712;0;1563.3866;216.09744;43.46094;3.6217449;0;-3.5840328;8.206029;3.7205343;Glioblastoma
1001000182.H2;Neoplastic;0;0;41.60195;0;0;318.9483;495.7566;2693.7263;204.54294;0;-5.265429;7.185242;2.6367366;Glioblastoma
1001000182.B10;Neoplastic;0;0;0;96.84653;0;450.70883;812.0209;0;33.5238;0;-4.0688787;7.189322;3.2365892;Glioblastoma
1001000182.H3;Neoplastic;0;0;0;0;580.763;2872.1372;179.50858;0;0;0;-3.4682364;6.431219;3.530277;Glioblastoma
1.00E+11;Neoplastic;218.62962;0;0;0;0;142.77853;0;0;114.52028;0;-3.8584266;7.601605;3.3185065;Glioblastoma
1001000182.A9;Neoplastic;713.80994;0;0;34.71416;0;143.19592;0;0;32.544525;0;-4.4277864;7.939825;3.3038213;Glioblastoma
1001000182.B1;Neoplastic;269.12186;0;0;26.40441;0;1655.3534;878.4544;0;82.259895;0;-3.6290116;7.985702;3.6222363;Glioblastoma
1001000182.B8;Neoplastic;0;2.3844326;1790.7089;0;0;2298.593;352.89603;0;0;0;-3.5657089;7.26817;3.572569;Glioblastoma
1001000182.C8;Neoplastic;1752.9302;0;0;0;0;0;269.68158;0;20.744736;0;-4.016653;6.7613773;3.2120893;Glioblastoma
1001000182.G12;Neoplastic;263.4064;0;0;0;0;0;3901.3965;399.2512;162.3511;0;-4.826769;7.4148183;2.689449;Glioblastoma
1001000182.F1;Neoplastic;1782.6044;0;0;2.736154;0;220.2604;551.335;0;91.66116;0;-3.8786292;8.295985;3.5263133;Glioblastoma
1.00E+13;Neoplastic;0;700.8849;0;0;0;70.922874;2643.6152;745.3855;123.767365;0;-5.0004225;7.428822;2.690298;Glioblastoma
1001000182.A11;Neoplastic;394.71286;40.48337;14.16918;95.135925;0;113.35344;3872.2344;1228.6703;165.98183;0;-4.9127645;7.7522683;2.9653878;Glioblastoma
1.00E+14;Neoplastic;242.54112;0;0;575.6699;0;502.61536;523.0706;0;14.610911;0;-4.351986;7.104618;2.8330858;Glioblastoma
1001000182.B3;Neoplastic;279.34262;0;0;0;711.1999;3734.2007;1912.052;0;19.265007;0;-3.1318195;6.9748645;3.8058417;Glioblastoma
1001000182.F3;Neoplastic;1993.9904;0;0;0;734.02515;2343.3442;1222.7389;0;50.58951;0;-3.1453116;7.4018803;3.829448;Glioblastoma
1001000182.B11;Neoplastic;0;0;45.18421;0;0;1767.8323;28.240131;0;0;0;-4.053462;6.8213205;3.162558;Glioblastoma
1001000182.G5;Neoplastic;956.1202;0;356.0022;0;0;1027.3207;2786.9885;0;0;0;-4.5366583;6.815385;2.8387637;Glioblastoma
1001000182.C9;Neoplastic;1177.9735;0;0;0;0;2204.1191;0;0;5.2354374;0;-3.660593;7.5193405;3.5831196;Glioblastoma
1001000182.D2;Neoplastic;0;0;0;0;4.1076026;443.6211;151.98131;0;0;0;-3.9144611;7.0342236;3.233056;Glioblastoma
1001000182.F2;Neoplastic;790.1411;0;0;253.4415;11.181242;512.47363;5489.99;13.044783;74.54162;0;-3.826675;8.214309;3.535863;Glioblastoma
